Orthogroup,Tracheophyte,Bryophyte,Streptophyte_algae,Chlorophyte_algae,Cyanobacteria
OG0000460,1,1,1,1,1
OG0000461,1,1,1,1,0
OG0000462,1,1,1,1,0
OG0000463,1,1,1,1,0
OG0000466,1,1,1,1,0
OG0000470,1,1,1,0,0
OG0000471,1,1,1,1,1
OG0000472,1,1,1,1,1
OG0000473,1,1,1,1,1
OG0000474,1,1,1,0,1
OG0000477,1,1,1,0,0
OG0000478,1,1,1,1,0
OG0000481,1,1,1,0,1
OG0000482,1,1,1,1,1
OG0000484,1,1,1,0,0
OG0000486,1,1,1,1,0
OG0000489,1,1,1,1,0
OG0000492,1,1,1,1,0
OG0000495,1,1,1,0,0
OG0000496,1,1,1,1,1
OG0000498,1,1,1,1,0
OG0000499,1,1,1,1,1
OG0000501,1,1,1,1,0
OG0000502,1,1,1,1,0
OG0000503,1,1,1,1,0
OG0000504,1,1,1,0,0
OG0000506,1,1,1,1,0
OG0000508,1,1,1,0,0
OG0000509,1,1,1,1,0
OG0000512,1,1,0,0,0
OG0000513,1,1,1,1,0
OG0000514,1,1,1,1,0
OG0000518,1,1,1,1,0
OG0000521,1,1,0,0,0
OG0000523,1,1,1,1,0
OG0000526,1,1,1,1,0
OG0000529,1,1,1,1,0
OG0000532,1,1,1,1,1
OG0000533,1,1,1,1,1
OG0000535,1,1,1,1,0
OG0000537,1,1,1,1,0
OG0000538,1,1,1,0,1
OG0000539,1,1,1,1,1
OG0000541,1,1,1,1,1
OG0000544,1,1,1,0,0
OG0000547,1,1,1,0,0
OG0000548,1,1,1,1,0
OG0000549,1,1,1,1,0
OG0000551,1,1,1,1,0
OG0000552,1,1,1,1,0
OG0000553,1,1,1,0,1
OG0000556,1,1,1,1,0
OG0000557,1,1,1,1,0
OG0000559,1,1,1,1,0
OG0000560,1,1,1,1,0
OG0000561,1,1,0,1,0
OG0000566,1,1,1,1,1
OG0000567,1,1,1,1,0
OG0000570,1,1,1,1,0
OG0000573,1,1,1,1,0
OG0000576,1,1,1,1,1
OG0000577,1,1,1,1,0
OG0000578,1,1,1,1,0
OG0000579,1,1,1,1,1
OG0000580,1,1,1,1,0
OG0000582,1,1,1,1,0
OG0000583,1,1,1,1,0
OG0000584,1,1,1,1,0
OG0000588,1,1,1,1,0
OG0000589,1,1,1,1,0
OG0000590,1,1,1,1,0
OG0000591,1,1,1,1,1
OG0000592,1,1,1,1,0
OG0000593,1,1,1,1,1
OG0000595,1,1,1,1,0
OG0000597,1,1,1,1,1
OG0000598,1,1,1,1,0
OG0000601,1,1,1,1,0
OG0000602,1,1,1,1,0
OG0000604,1,1,1,1,0
OG0000605,1,1,1,1,0
OG0000607,1,1,1,1,0
OG0000610,1,1,1,1,1
OG0000611,1,1,1,1,0
OG0000612,1,1,1,1,1
OG0000614,1,1,0,0,0
OG0000616,1,1,1,1,0
OG0000618,1,1,1,1,0
OG0000619,1,0,1,0,1
OG0000620,1,1,1,1,0
OG0000621,1,1,1,1,0
OG0000623,1,1,0,0,0
OG0000625,1,1,1,1,0
OG0000626,1,1,1,1,1
OG0000627,1,1,1,1,0
OG0000629,1,1,1,1,0
OG0000630,1,1,1,1,0
OG0000631,1,1,1,1,0
OG0000632,1,1,1,1,1
OG0000633,1,1,1,1,1
OG0000635,1,1,1,1,1
OG0000636,1,1,1,1,0
OG0000637,1,1,1,1,1
OG0000638,1,1,1,1,0
OG0000639,1,1,1,1,1
OG0000646,1,1,0,0,0
OG0000647,1,1,1,1,0
OG0000648,1,1,1,1,0
OG0000653,1,1,1,0,0
OG0000657,1,1,0,0,0
OG0000659,1,1,0,0,0
OG0000661,1,1,1,1,0
OG0000662,1,1,1,0,0
OG0000665,1,1,0,0,0
OG0000666,1,1,0,0,0
OG0000668,1,1,1,1,0
OG0000670,1,1,1,1,1
OG0000677,1,1,1,1,0
OG0000678,1,1,1,1,1
OG0000679,1,0,0,0,0
OG0000681,1,1,1,0,0
OG0000684,1,1,1,1,1
OG0000685,1,0,0,0,0
OG0000688,1,1,1,1,0
OG0000689,1,1,1,1,1
OG0000691,1,1,1,1,0
OG0000694,1,1,1,1,0
OG0000696,1,1,1,1,1
OG0000700,1,1,1,1,1
OG0000702,1,1,1,0,0
OG0000703,1,1,1,1,0
OG0000704,1,1,1,0,0
OG0000705,1,1,1,1,0
OG0000706,1,1,1,1,1
OG0000710,1,1,1,1,0
OG0000712,1,1,1,1,1
OG0000714,1,1,1,1,1
OG0000716,1,1,1,0,0
OG0000718,1,1,1,1,1
OG0000720,1,1,1,1,1
OG0000721,1,1,1,1,1
OG0000723,1,1,1,1,0
OG0000724,1,1,1,0,0
OG0000725,1,1,1,1,1
OG0000728,1,1,1,1,0
OG0000729,1,1,0,0,0
OG0000733,1,1,1,1,1
OG0000734,1,1,1,1,0
OG0000737,1,1,1,1,1
OG0000738,1,1,1,1,0
OG0000742,1,1,1,1,0
OG0000744,1,1,1,0,0
OG0000747,1,1,1,1,0
OG0000748,1,1,1,0,0
